den,blick,coup d'oeil,glance,Blick
,blind ,aveugle,blind,blind
den,blix ,éclair,"lightning, flash",Blitz
,blond ,blond,blond,blond
,blot,seulement,only,"nur, bloß"
den,blud ,sang,blood,Blut
den,blum ,fleur,flower,Blume
den,blunder,bévue,blunder,grober Fehler
dat,bly ,plomb,"lead, plumb",Blei
,blyve/bliv/bliven ,rester,"to stay, to remain",bleiben
den,bock ,bouc,buck,Bock (Tier)
,bode ,tous deux,both,beide
den,bojke,garçon,boy,Junge
dat,bollwerk ,rempart,bulwark,Bollwerk
dat,boot ,bateau,boat,Boot
,bore,"forer, percer","to bore, pierce",bohren
,born,né,born,geboren
den,börsen,bourse,stock exchange,Börse
den,borste ,brosse,brush,Bürste
den,bosem,sein (mamelle),bosom,Busen
den,bou ,arc,"bow, arch",Bogen
,Brasil,Brésil,Brazil,Brasilien
,braun ,brun,brown,braun
,bred ,large,"broad, wide",breit
,breke/brak/broken,"casser, briser",to break,brechen
,brenne/brann/brunnen ,brûler,to burn,brennen
dat,brev,lettre (message),letter (message),Brief
,bringe/braht/braht ,"amener, apporter",to bring,bringen
,Brit'annjen ,(Grande) Bretagne,(Great) Britain,(Groß-)Britannien
den,brod ,pain,bread,Brot
den,broder ,frère,brother,Bruder
den,bronze,bronze,bronze,Bronze
den,brosch ,broche (vêtement),brooch,Brosche
den,brost ,poitrine,"chest, breast",Brust
den,brox ,pantalon,"pants, trousers",Hose
den,bru ,pont,bridge,Brücke
den,bruk ,usage,usage,Gebrauch
,bruke ,utiliser,to use,"gebrauchen, nutzen, verwenden"
den,brunn ,puits,"water well, fountain",Brunnen
,Brüssel,Bruxelles,Brussels,Brüssel
,brut'al ,brutal,brutal,brutal
,brutto,brut,gross (measure),brutto
,bubble,bouillonner,to bubble,sprudeln
den,buch,hêtre,beech,Buche
dat,büdsch'et ,budget,budget,Budget
den,buht,baie (géo.),"bight, bay",Bucht
dat,buk ,livre,book,Buch
den,bullen ,taureau,bull,"Bulle, Stier"
dat,bundel,"faisceau, fagot",bundle,Bündel
den,burg,chäteau(-fort),castle,Burg
den,Burg'under ,Burgonde,Burgundian (noun),Burgunder
,burge,cautionner,to vouch for,bürgen
den,burger,citoyen,citizen,Bürger
den,burgmyster,"maire, bourgmestre",mayor (of a town),Bürgermeister
den,bür'o,bureau (endroit),office,Büro
den,burt,naissance,birth,Geburt
den,busch ,buisson,bush,Busch
den,büst,buste,bust,Büste
den,butter ,beurre,butter,Butter
,by,"auprès de, chez",by (near),bei
,bybeholde/held/holden ,"maintenir, entretenir",to maintain,beibehalten
,bydrage/drug/dragen,contribuer à,to contribuer à,beitragen + dat.
,bysto,assister (qqun),to assist (someone),beistehen
,byte/bit/biten ,mordre,to bite,beißen
den,ce'ment,ciment,cement,Zement
den,charm,charme (attraction),charm (attraction),Reiz
den,check,chèque,check (money),Scheck
den,cirkel,cercle,circle,Kreis
,civ'il,civil,civilian,"bürgerlich, zivil-"
den,civilisa'sjonen ,civilisation,civilization,Zivilisation
den,daad ,"fait, action","deed, action","Tat, Handlung"
,daar ,là,there,"da, dort"
den,dag ,jour,day,Tag
,daglig,quotidien,daily,täglich
dat,dak ,toit,roof,Dach
dat,dal ,vallée,valley,Tal
den,dame,dame,lady,Dame
den,damm,barrage,dam,Damm
,dan ,que (comparatif),than (comparative),als (Vergleich)
den,Dane ,le Danois,Dane,Däne
,danke ,remercier,to thank,danken
,Danmark ,Danemark,Denmark,Dänemark
den,dans ,danse,dance,Tanz
,danse ,danser,to dance,tanzen
den,darm ,"intestin, boyau",intestine,Darm
,dat ,ça ; article défini neutre singulier ; que (relatif),"that (demonstrative); neuter singular definite article; that, which (relative)",das; bestimmter Artikel Neutrum Singular; das (relativ)
dat,Datum,date,date,Datum
,däuch ,allemand,German (adj.),deutsch
den,däud ,la mort,death,Tod
,de [də] ,article défini pluriel,definite article plural,bestimmter Artikel Plural
den,deb'atten,débat,debate,Debatte
den,de'cember ,décembre,December,Dezember
dat,deck ,pont de navire,deck (of ship),Deck
,decke ,couvrir,to cover,"decken, bedecken"
,defin’eere,définir,to define,definieren
den,deig,pâte,dough,Teig
,deiv ,sourd,deaf,taub
den,deivel ,diable,devil,Teufel
,deje ,mourir,to die,sterben
den,del ,partie,part,Teil
,dele,"partager, diviser",to divide,teilen
,delve/dolv/dolven ,excaver,to excavate,ausgraben
,dem ,"eux, les, elles",them,"sie, ihnen (Pl.)"
,den ,article défini et pronom personnel commun singulier,common singular definite article and personal pronoun,bestimmter Artikel und Personalpronomen Utrum Singular
,denke/daht/daht ,penser,to think,denken
,der ,leur(s) ; pronom relatif commun singulier nominatif,their; relative pronoun common singular nominative,ihr (poss. pl.); Relativpronomen Utrum Singular Nominativ
den,dialekt,dialecte,dialect,Dialekt
den,diam'anten,diamant,diamond,Diamant
,dick ,épais,thick,dick
,die ,"eux, elles, ils",they,sie (pl.)
,diep ,profond,deep,tief
dat,dier ,animal,animal,Tier
den,diev,voleur,thief,Dieb
,diht,"épais, serré",tight,dicht
dat,dikt,poème,poem,Gedicht
,dikte,écrire de la poésie,to write poetry,dichten
dat,ding,chose,thing,Ding
den,dirig'enten,chef d'orchestre,conductor (orchestra),Dirigent
,dis ,"ceci, base du démonstratif","this, base of the demonstrative","dies, Stamm des Demonstrativums"
,disdag ,aujourd'hui,today,heute
,disdäg ,de nos jours,these days,heutzutage
den,distel,chardon,thistle,Distel
,djene ,servir,to serve,dienen
,dobbel,double,double,doppelt
dat,dock ,dock,dock,Dock
,döde ,tuer,to kill,töten
,dödlig,mortel,"mortal, deadly","tödlich, sterblich"
,doh ,bien que (en début de subordonnée) ; pourtant (en fin de phrase),"although (start of subordinate clause); however, still (end of sentence)",obwohl (Nebensatz einleitend); dennoch (Satzende)
den,dohter ,fille,daughter,Tochter
den,dolk,poignard,dagger,Dolch
den,dom,jugement,judgment,Urteil
,domme ,"condamner (juger, destiner)","to condemn (to judge, to destine)","verurteilen (richten, bestimmen)"
den,dommer ,juge,judge,Richter
den,Donau,Danube,Danube,Donau
den,donder ,tonnerre,thunder,Donner
den,donderdag ,jeudi,Thursday,Donnerstag
,dor,sec,dry,trocken
den,dör ,porte,door,Tür
,döre ,oser (modal),to dare (modal verb),wagen (Modalverb)
den,dorn,épine,thorn,Dorn
dat,dorp ,village,village,Dorf
den,dörst ,soif,thirst,Durst
,doruh,à travers,through,durch
den,douv ,pigeon,"pigeon, dove",Taube
den,drad ,fil,thread,"Faden, Draht"
,drage/drug/dragen ,tirer,"to drag, to pull",ziehen
den,draht ,"tenue, costume",attire,"Kleidung, Tracht"
den,drake ,dragon,dragon,Drache
dat,drama,drame,drama,Drama
,drie ,trois,three,drei
,dringe/drang/drungen ,"faire pression, pénétrer","to urge, to penetrate",dringen
,drinke/drank/drunken ,boire,to drink,trinken
den,drom,rêve,dream,Traum
den,droppen,goutte,drop,Tropfen
,dru ,menacer,to threaten,drohen
den,druck,pression,pressure,Druck
,drücke ,presser,"to push, to press",drücken
,drunken,"ivre, saoul",drunk (adj.),betrunken
,dry ,tourner (vtr.),to turn (vtr.),drehen
